timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,running_method
2023-11-10T10:33:49,codecarbon,68d59323-afef-41da-b6bc-614440aa2112,0.0074892044067382,4.4584437888692523e-08,5.953160772134681e-06,42.5,0.0,4.7543792724609375,8.71222880151537e-08,0.0,4.251061185035117e-09,9.13733492001888e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:49,codecarbon,ae45d1ef-6018-4522-8a7e-45da72dad89f,0.0075714588165283,4.51895341881697e-08,5.968405202115343e-06,42.5,0.0,4.7543792724609375,8.774714337454902e-08,0.0,4.8663173553601765e-09,9.261346072990921e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:51,codecarbon,1046a7d0-18e1-41e9-af5a-5b4b54bb4323,0.0067243576049804,4.0297665009492775e-08,5.9927902971201104e-06,42.5,0.0,4.7543792724609375,7.847564087973702e-08,0.0,4.112203472080486e-09,8.258784435181749e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:51,codecarbon,584e9cd7-73ae-41f2-bd8b-da4d14e12c54,0.0071284770965576,4.2328210655070063e-08,5.93790371796391e-06,42.5,0.0,4.7543792724609375,8.242742882834543e-08,0.0,4.321906956950745e-09,8.674933578529617e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:53,codecarbon,b9a73661-24de-48fb-ba41-11c5e48dc74b,0.0071256160736083,4.2602139542046335e-08,5.97873069527765e-06,42.5,0.0,4.7543792724609375,8.312265078226728e-08,0.0,4.188087165554559e-09,8.731073794782181e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:53,codecarbon,72e6996b-5a1a-4548-b477-1b7121e89baa,0.0117754936218261,7.013335626047554e-08,5.955873996694423e-06,42.5,0.0,4.7543792724609375,1.3769335216946074e-07,0.0,6.04109768877e-09,1.4373444985823072e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:56,codecarbon,7a669d8f-29a5-462c-9883-00978d688010,0.0067155361175537,4.0213982438162176e-08,5.988201348965574e-06,42.5,0.0,4.7543792724609375,7.827579975128174e-08,0.0,4.140541780846737e-09,8.241634153212847e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:57,codecarbon,9308706d-1ed5-434d-918f-bad0efd74d12,0.0071475505828857,4.258379935994576e-08,5.957817138350778e-06,42.5,0.0,4.7543792724609375,8.29087363349067e-08,0.0,4.364414420100123e-09,8.727315075500683e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:59,codecarbon,5a6e6df3-d2a4-4b95-9b06-145564b5a8eb,0.0072340965270996,4.3216375107391686e-08,5.973983751184278e-06,42.5,0.0,4.7543792724609375,8.437236150105794e-08,0.0,4.19721839837924e-09,8.856957989943718e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:33:59,codecarbon,a746a62c-bf88-491a-9605-16b8d3427800,0.007472276687622,4.4399687733344016e-08,5.941922333643334e-06,42.5,0.0,4.7543792724609375,8.67760843700833e-08,0.0,4.21862956500263e-09,9.09947139350859e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:01,codecarbon,bb337e44-db1f-433d-ba30-6dd94542e678,0.0098087787628173,5.7976446322353336e-08,5.910669179544296e-06,42.5,0.0,4.7543792724609375,1.1469473441441857e-07,0.0,4.124798275976597e-09,1.1881953269039517e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:01,codecarbon,a7894cba-8521-43c9-9e30-2ab83886b6e8,0.007364273071289,2.1320652320678608e-10,2.8951468955980184e-08,42.5,0.0,4.7543792724609375,8.543348974651763e-08,0.0,4.253895015911743e-09,8.968738476242938e-08,Canada,CAN,quebec,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,-71.2,46.8,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:03,codecarbon,b4239712-6ee4-4630-a920-058754004967,0.007608413696289,4.5069036137110014e-08,5.923578545563583e-06,42.5,0.0,4.7543792724609375,8.808490302827625e-08,0.0,4.2816035844831895e-09,9.236650661275945e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:04,codecarbon,6f0f8e8e-ea0e-4733-bfb5-f7e51899fb27,0.0078105926513671,4.625203749011192e-08,5.921706527867105e-06,42.5,0.0,4.7543792724609375,9.044359127680461e-08,0.0,4.347411434840372e-09,9.479100271164497e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:06,codecarbon,164851fb-eb6e-4605-8d96-8953801cdda8,0.0073504447937011,4.3992378132932017e-08,5.984995380229298e-06,42.5,0.0,4.7543792724609375,8.581065469317967e-08,0.0,4.349300655424789e-09,9.015995534860445e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:06,codecarbon,afd8c80a-3670-49c4-a3d4-331769c5bd7c,0.0096852779388427,5.841104505833277e-08,6.030910566239455e-06,42.5,0.0,4.7543792724609375,1.1262595653533937e-07,0.0,7.084262321465455e-09,1.1971021885680482e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:09,codecarbon,78b9b374-1d1a-49b5-9836-8f375c6541e7,0.0075986385345458,4.528816351975855e-08,5.960036566269566e-06,42.5,0.0,4.7543792724609375,8.844236532847087e-08,0.0,4.373230782827402e-09,9.281559611129828e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:09,codecarbon,f04d687e-e8fa-4066-b038-cfbda528bf5e,0.0141496658325195,8.45396585956278e-08,5.97467527475696e-06,42.5,0.0,4.7543792724609375,1.654093464215597e-07,0.0,7.850026398349051e-09,1.7325937281990873e-07,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
2023-11-10T10:34:11,codecarbon,5ac48f85-c101-46b2-ac77-500f0bc539ac,0.0072536468505859,4.341292323767106e-08,5.984978884678434e-06,42.5,0.0,4.7543792724609375,8.468197451697458e-08,0.0,4.290419947210467e-09,8.897239446418506e-08,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.1,2.0,Intel(R) Xeon(R) CPU @ 2.00GHz,1.0,1 x Tesla T4,103.8547,1.2929,12.6783447265625,machine,N,1.0,parallel
