total_time,electricity,type,running_method
0.4771881103515625,2.3719865287028884e-06,df,parallel
0.2616150379180908,1.2129350922032903e-06,df,parallel
0.6805667877197266,3.229927743717528e-06,df,parallel
0.6099166870117188,3.069750163243175e-06,df,parallel
0.12772059440612793,6.1698707939132e-07,df,parallel
0.6318302154541016,3.1130236676436786e-06,df,parallel
0.16024518013000488,8.231154589594647e-07,df,parallel
0.3199019432067871,1.6141505854774114e-06,df,parallel
0.5333352088928223,2.765502707988264e-06,df,parallel
0.29572105407714844,1.5053139333460043e-06,df,parallel
0.6242570877075195,3.1968176335380077e-06,df,parallel
0.5963823795318604,,df,parallel
0.6668426990509033,3.365502439333398e-06,df,parallel
0.7148780822753906,3.4247355646024834e-06,df,parallel
0.6390440464019775,3.2049201837838033e-06,df,parallel
0.015621662139892578,6.063341865528886e-08,df,parallel
0.014559030532836914,1.5040781708296487e-07,df,parallel
0.03175950050354004,2.02608103701574e-07,df,parallel
